country,year,share
Lithuania,2000,3.05480694770813
Lithuania,2024,80.32786560058594
Denmark,2000,15.53696060180664
Denmark,2024,88.03948974609375
Estonia,2000,0.1175088062882423
Estonia,2024,56.672157287597656
Portugal,2000,29.784772872924805
Portugal,2024,85.18678283691406
Kenya,2000,40.37123107910156
Kenya,2024,91.9066162109375
